FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Total Medicare Payment Amount: Slope,Total Number of Services: Slope,% ASC Billing: Slope,% ASC Procedures: Slope,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Urban,LISA_CL,Moran I score for ACS billing fraction
37021,389.0,152560.2,109.0,40740.86,55.0,28249.54,76.0,33566.06,81.0,29220.74,68.0,20783.0,26.0,43.119266,33.678671,70.909091,48.6912,60.526316,33.543019,45.679012,43.703992,55.882353,45.563104,53.213368,39.967895,0.000181,0.034939,-0.095586,-0.000578,54985.2,71.2,44.584,90.71,4.958,1.144,18.506,0.896,14.488,496.4,563.806,4549.8,1,12.78,51062.2,256886.0,2.0,8.9,23.2,27.7,40.1,3.52,13.06,18.6,10.6,16.6,3.6,9.72,23.02,2.35,3.475,3.44,9.92,18.98,7.78,2.66,21.24,4.76,31.54,48.88,11.02,19.38,391.193777,83.733127,0,0,Non Significant
37027,70.0,3703.62,0.0,0.0,0.0,0.0,23.0,1014.21,12.0,696.0,35.0,1993.41,2.9791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001707,-0.089325,0.0,0.0,18518.6,70.4,45.44,93.742,3.862,0.926,24.898,1.018,15.512,732.8,590.626,4026.6,1,15.5,43088.0,81884.2,2.0,20.0,32.5,31.7,15.7,4.74,14.52,22.4,13.6,19.0,3.0,10.6,20.54,2.125,3.425,2.64,16.82,22.66,6.46,4.12,29.98,5.24,32.24,61.56,13.14,28.3,173.643138,39.270431,0,0,Non Significant
37057,784.0,39323.25,135.0,6411.38,165.0,7799.64,148.0,6698.49,174.0,8717.25,162.0,9696.49,11.977747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000991,-0.066822,0.0,0.0,34654.4,70.0,45.962,88.006,7.656,1.486,21.904,1.052,18.116,767.2,514.886,3925.0,1,14.98,48388.0,165380.6,2.0,16.1,32.8,32.6,18.5,4.38,13.6,24.2,15.2,18.2,4.0,10.22,22.3,3.4,4.975,3.68,14.76,26.86,6.04,3.64,28.42,5.16,34.12,60.64,13.22,25.52,299.236622,62.703035,0,0,Non Significant
37067,9232.0,1020739.519999,1624.0,169575.75,1724.0,183240.49,1865.0,205370.8,2016.0,233118.84,2003.0,229433.64,136.55223,5.23399,32.256216,4.118329,21.450232,2.30563,8.637328,3.224206,15.455014,2.895657,12.094111,3.487868,17.195307,-5.4e-05,-0.008892,0.134588,1.062838,65872.4,70.2,44.536,72.084,22.258,2.202,20.978,1.08,18.784,751.8,527.552,4129.2,1,16.76,50060.4,375195.2,2.0,10.8,25.7,29.5,34.0,4.44,13.08,22.2,12.2,15.6,4.4,11.04,23.22,2.65,3.8,4.48,11.44,24.26,6.66,3.88,26.28,5.56,31.48,57.76,11.9,22.04,919.26262,161.393416,0,0,Non Significant
37081,73.0,5216.27,35.0,3382.92,38.0,1833.35,0.0,0.0,0.0,0.0,0.0,0.0,2.832599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000918,0.067365,0.0,0.0,87043.6,71.0,44.554,69.122,25.18,1.61,20.7,1.078,18.108,725.4,577.606,4546.2,1,15.98,51261.4,527868.4,2.0,10.9,23.3,29.8,36.0,4.82,12.22,20.0,10.4,17.6,3.8,11.0,20.46,2.575,3.525,4.08,10.24,26.78,7.0,4.06,26.46,5.54,30.48,57.92,14.38,23.26,817.508332,134.804183,0,0,Non Significant
37127,50.0,8859.96,25.0,3221.34,0.0,0.0,25.0,5638.62,0.0,0.0,0.0,0.0,3.998735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000243,0.066667,0.0,0.0,19968.0,70.2,43.71,62.698,34.932,0.94,25.506,1.028,19.72,796.2,581.848,4686.6,1,16.2,47894.8,94030.0,3.0,14.4,33.7,31.1,20.8,5.94,12.24,19.2,13.2,15.8,2.8,9.74,17.32,2.075,3.325,3.34,12.28,25.6,5.74,4.6,34.58,5.66,31.96,68.52,14.06,28.58,173.998486,36.949928,0,0,Non Significant
37151,61.0,19384.85,0.0,0.0,0.0,0.0,39.0,11920.29,0.0,0.0,22.0,7464.56,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000122,-0.034898,0.0,0.0,28894.8,70.0,46.794,90.764,5.148,1.936,22.576,1.038,16.658,734.6,560.408,4655.0,1,14.9,46372.6,143118.0,2.0,18.5,33.5,32.3,15.7,4.48,15.9,21.2,12.4,21.4,3.6,10.62,21.44,2.225,5.25,3.24,14.64,27.68,6.08,3.74,30.8,6.12,31.98,58.72,15.24,26.32,182.894429,36.92546,0,0,Non Significant
39055,42.0,11988.82,28.0,6465.19,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5523.63,2.971658,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,4.3e-05,0.044643,0.0,0.0,18351.2,73.8,46.22,94.27,1.05,0.576,7.6,0.914,16.918,505.2,572.634,4634.2,1,6.02,80191.0,93842.8,1.0,9.8,25.3,26.9,38.0,4.18,9.04,17.2,5.8,12.0,2.4,9.92,17.1,1.9,1.125,2.7,10.66,19.02,6.58,3.6,20.86,4.66,36.1,54.16,12.56,27.6,234.510851,45.859198,1,0,Non Significant
39063,228.0,66781.99,18.0,5780.93,0.0,0.0,53.0,18036.61,71.0,20549.07,86.0,22415.38,12.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-0.000137,-0.040014,-0.0125,-0.0125,13979.4,72.0,44.87,94.074,0.874,1.986,15.598,0.942,13.734,665.2,599.122,5397.0,0,9.9,58071.2,75837.0,4.0,7.5,36.0,29.4,27.1,3.52,6.34,16.6,9.2,19.0,3.0,9.3,17.9,1.575,1.675,3.66,11.46,22.56,5.8,4.66,28.24,5.36,33.78,59.62,10.14,23.72,142.722985,26.308816,0,4,High-Low
39109,71.0,3600.8,0.0,0.0,0.0,0.0,55.0,2610.72,16.0,990.08,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019,-0.00704,0.0,0.0,21010.2,71.8,45.08,94.966,1.626,0.466,15.706,0.964,17.682,776.8,635.618,4542.8,1,9.18,59104.4,105371.4,2.0,8.8,36.6,31.3,23.3,4.12,7.16,18.4,9.4,19.2,3.6,10.3,19.82,1.8,2.15,3.08,14.3,25.66,6.14,3.98,27.28,4.62,34.38,63.58,12.74,25.78,259.165232,51.675439,0,0,Non Significant
39143,34.0,4585.08,23.0,1727.17,0.0,0.0,0.0,0.0,11.0,2857.91,0.0,0.0,2.937631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6e-05,0.083572,0.0,0.0,12467.4,71.2,46.094,90.134,2.184,4.59,17.556,1.002,15.852,750.6,569.342,4400.2,0,10.9,53579.4,59028.6,4.0,9.6,42.4,31.9,16.1,4.64,6.54,18.4,10.2,21.0,3.2,10.2,17.94,1.95,2.225,2.94,13.84,23.32,5.26,4.4,29.74,4.52,35.5,57.94,16.42,26.12,144.517484,30.523463,0,0,Non Significant
40019,2707.0,1380976.590003,366.0,193854.47,492.0,259104.510001,552.0,278387.53,585.0,291385.190002,712.0,358244.89,18.874093,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-2.6e-05,-0.012204,-140737488355328.0,0.0,9785.4,70.4,44.464,82.632,6.176,1.504,20.654,1.018,17.114,867.0,599.75,4295.6,0,16.34,47912.6,48319.2,5.0,12.0,36.7,30.8,20.5,4.06,17.98,24.6,14.2,16.0,3.6,10.92,23.86,1.8,4.075,3.3,18.26,24.22,4.3,3.12,27.28,5.06,40.3,62.4,17.16,34.06,58.76997,11.901846,0,0,Non Significant
40031,286.0,102677.52,102.0,34707.76,60.0,16644.93,101.0,45167.61,23.0,6157.22,0.0,0.0,16.0,76.470588,84.027261,60.0,83.354992,74.257426,81.868556,0.0,0.0,0.0,0.0,66.083916,77.929843,5.5e-05,0.028777,0.030342,0.035019,17438.0,70.2,45.066,71.882,14.516,4.9,16.432,1.026,17.924,795.4,501.57,3566.2,1,16.48,49682.0,121762.2,3.0,10.0,32.8,35.1,22.2,3.98,14.44,22.6,12.4,14.2,3.6,10.62,17.36,2.1,3.75,2.68,17.06,25.04,5.88,3.82,30.36,5.34,38.16,61.32,19.5,30.78,113.872328,16.308063,0,0,Non Significant
