,,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt
2019,72,60240,Removal of thyroid,N,F,12,12,12,2575,849.56,676.89
2019,73,60240,Removal of thyroid,N,F,14,14,14,1351,104.01571429,83.135714286
2019,74,60240,Removal of thyroid,N,F,15,15,15,3612,838.31933333,650.484
2019,75,60240,Removal of thyroid,N,F,92,93,92,2740.5483871,455.8627957,363.20688172
2019,76,60240,Removal of thyroid,N,F,12,12,12,5128.6666667,812.38083333,649.63333333
2019,77,60240,Removal of thyroid,N,F,15,15,15,1798,856.52133333,688.92333333
2019,78,60240,Removal of thyroid,N,F,13,13,13,3224,902.65153846,710.51692308
2019,79,60240,Removal of thyroid,N,F,19,19,19,2861,852.68473684,681.38421053
2019,80,60240,Removal of thyroid,N,F,11,11,11,1949,876.33,704.15727273
2019,81,60240,Removal of thyroid,N,F,17,17,17,1874,881.83,704.64
2019,82,60240,Removal of thyroid,N,F,19,19,19,14414.368421,2081.03,1658.06
2019,83,60240,Removal of thyroid,N,F,17,17,17,2014.4117647,924.22588235,736.37588235
2019,84,60240,Removal of thyroid,N,F,11,11,11,3856,885.74272727,708.36909091
2019,85,60240,Removal of thyroid,N,F,11,11,11,6399,1764.4,1405.7818182
2019,86,60240,Removal of thyroid,N,F,24,24,24,837.81916667,815.10291667,651.24958333
2019,87,60240,Removal of thyroid,N,F,93,93,93,2348.6129032,145.02849462,114.57806452
2019,88,60240,Removal of thyroid,N,F,14,14,14,2995.5714286,893.06785714,703.31285714
2018,0,60240,Removal of thyroid,N,F,11,11,11,1294.75,145.38,115.83
2018,1,60240,Removal of thyroid,N,F,11,11,11,564.54545455,204.48,162.91636364
2018,2,60240,Removal of thyroid,N,F,17,17,17,5951.1764706,824.05764706,653.61647059
2018,3,60240,Removal of thyroid,N,F,17,17,17,1935,863.33470588,679.28764706
2018,4,60240,Removal of thyroid,N,F,11,11,11,4048.1818182,995.26909091,798.54090909
2018,5,60240,Removal of thyroid,N,F,24,24,24,2701.5416667,822.70958333,642.01041667
2018,6,60240,Removal of thyroid,N,F,11,11,11,3000,927.83818182,735.49727273
2018,7,60240,Removal of thyroid,N,F,19,19,19,3449,860.09315789,682.02736842
2018,8,60240,Removal of thyroid,N,F,11,11,11,1527.2727273,360.83272727,287.49272727
2018,9,60240,Removal of thyroid,N,F,12,12,12,1983,1919.62,1529.45
2018,10,60240,Removal of thyroid,N,F,12,12,12,2182.6666667,805.1575,641.5075
2018,11,60240,Removal of thyroid,N,F,13,13,13,4205,1009.71,804.48
2018,12,60240,Removal of thyroid,N,F,13,13,13,7915,928.11846154,739.47846154
2018,13,60240,Removal of thyroid,N,F,18,18,18,3391.45,1018.42,811.42
2018,14,60240,Removal of thyroid,N,F,14,14,14,2121.4885714,227.37714286,181.16142857
2018,15,60240,Removal of thyroid,N,F,12,12,12,2692.9166667,768.6275,612.405
2018,16,60240,Removal of thyroid,N,F,14,14,14,1806,955.42714286,757.86285714
2018,17,60240,Removal of thyroid,N,F,12,12,12,7157,204.49833333,164.35
2018,18,60240,Removal of thyroid,N,F,15,15,15,2604.2,855.75,668.34666667
2018,19,60240,Removal of thyroid,N,F,19,19,19,4300,889.18631579,712.50315789
2018,20,60240,Removal of thyroid,N,F,14,14,14,3000,995.98928571,791.92285714
2018,21,60240,Removal of thyroid,N,F,12,12,12,4006,831.75083333,662.6975
2018,22,60240,Removal of thyroid,N,F,14,14,14,3853,877.74142857,699.33857143
2018,23,60240,Removal of thyroid,N,F,17,17,17,3076,975.67235294,774.73176471
2018,24,60240,Removal of thyroid,N,F,11,11,11,1540,898.06454545,715.52909091
2018,25,60240,Removal of thyroid,N,F,11,11,11,1272,165.44545455,131.82090909
2018,26,60240,Removal of thyroid,N,F,11,11,11,7157,852.89545455,666.28636364
2018,27,60240,Removal of thyroid,N,F,16,16,16,6000,1077.288125,855.456875
2018,28,60240,Removal of thyroid,N,F,11,11,11,2880,823.81545455,659.99272727
2018,29,60240,Removal of thyroid,N,F,14,14,14,3527,845.67357143,663.85142857
2018,30,60240,Removal of thyroid,N,F,16,16,16,2658.03125,866.18375,670.715625
2018,31,60240,Removal of thyroid,N,F,14,14,14,1910,900.76,717.68
2018,32,60240,Removal of thyroid,N,F,13,13,13,3667.5692308,748.66307692,596.49615385
2018,33,60240,Removal of thyroid,N,F,11,11,11,3041,996.96545455,794.33454545
2018,34,60240,Removal of thyroid,N,F,15,15,15,1065,124.658,99.322
2018,35,60240,Removal of thyroid,N,F,18,18,18,542.63,138.51,110.36
2018,36,60240,Removal of thyroid,N,F,13,13,13,1160.4615385,813.02461538,647.77846154
2018,37,60240,Removal of thyroid,N,F,13,13,13,2334.0615385,779.74076923,607.16538462
2018,38,60240,Removal of thyroid,N,F,31,31,31,4645.1612903,946.67354839,757.32903226
2018,39,60240,Removal of thyroid,N,F,12,12,12,4577.625,967.8325,767.07083333
2018,40,60240,Removal of thyroid,N,F,19,19,19,5179,908.58,723.91
