FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Moran I score for ACS billing fraction,County
06081,918.0,89373.93,15.0,3506.55,66.0,5677.17,50.0,4410.96,120.0,18213.79,667.0,57565.46,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109207.6,74.0,44.804,64.866,2.812,11.476,11.804,0.882,14.968,477.4,582.932,4921.2,1,6.86,116456.0,767423.2,1.0,10.4,14.9,23.8,51.0,2.72,5.4,14.8,3.2,9.2,2.6,8.68,11.32,1.825,1.825,1.92,5.88,19.78,7.38,2.82,21.46,4.9,24.2,48.46,10.92,19.12,1711.439582,243.545164,Non Significant,San Mateo
06083,841.0,360341.67,183.0,59420.41,110.0,64281.84,158.0,82469.62,207.0,79827.5,183.0,74342.3,36.0,49.726776,77.881792,100.0,100.0,79.746835,85.819033,44.444444,52.92537,60.10929,63.344879,62.901308,75.116261,68879.6,72.8,45.57,72.472,1.84,19.676,20.832,0.918,14.632,604.2,776.354,6547.0,1,13.66,70047.2,444829.2,2.0,19.1,17.8,29.0,34.2,4.54,11.3,18.4,5.4,13.0,2.8,8.44,15.72,2.35,3.275,2.52,7.94,20.04,8.06,3.16,23.58,4.2,31.96,48.64,11.98,19.9,162.638163,25.183715,High-High,Santa Barbara
06087,72.0,65015.060001,11.0,8188.35,35.0,36160.95,0.0,0.0,26.0,20665.760001,0.0,0.0,5.0,100.0,100.0,100.0,100.0,0.0,0.0,57.692308,78.968642,0.0,0.0,84.722222,93.314949,43597.8,72.0,45.842,76.982,0.782,16.358,20.606,0.844,14.424,449.6,645.736,5519.2,1,12.84,77477.2,273961.8,2.0,13.7,15.5,30.0,40.8,6.04,7.5,18.6,4.4,10.2,3.2,7.16,15.3,2.425,2.65,2.42,5.74,17.02,7.54,2.44,19.2,5.24,26.98,43.24,10.18,16.9,615.409394,97.935171,Non Significant,Santa Cruz
06095,26.0,9886.81,15.0,1784.78,0.0,0.0,11.0,8102.03,0.0,0.0,0.0,0.0,1.999877,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,42.307692,81.947868,67816.6,70.4,45.446,52.504,16.052,15.378,29.548,0.962,18.844,711.6,577.15,4621.6,1,10.06,76969.0,441829.2,2.0,11.6,23.8,37.7,26.9,4.86,5.92,17.4,7.4,13.2,2.8,8.02,13.8,2.175,3.0,2.98,8.8,23.74,4.92,3.04,26.92,5.86,24.18,47.12,10.9,18.44,537.65882,82.52554,Non Significant,Solano
06101,301.0,115178.88,68.0,29425.93,0.0,0.0,104.0,39277.78,77.0,31873.17,52.0,14602.0,20.0,51.470588,67.952177,0.0,0.0,15.384615,24.635608,20.779221,30.108081,0.0,0.0,22.259136,34.093299,15666.8,71.4,45.908,69.298,2.092,14.082,29.228,0.994,16.708,585.4,570.388,5184.0,1,14.82,54996.8,96109.4,3.0,21.8,23.3,36.6,18.2,8.9,9.38,24.0,8.4,17.4,3.0,9.64,16.4,2.35,3.1,2.54,12.94,25.26,6.76,3.3,31.48,6.34,33.38,61.34,17.18,28.76,159.541508,26.006872,Non Significant,Sutter
06103,11.0,3060.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3060.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13894.4,70.8,46.988,87.664,0.554,7.964,25.1,0.878,15.468,743.6,617.954,5603.4,0,19.36,44388.0,63912.0,4.0,15.5,30.1,38.7,15.7,6.6,8.3,20.4,10.4,13.2,2.6,7.06,14.74,2.45,3.45,2.48,13.34,19.88,3.52,3.1,23.52,4.26,29.72,49.68,10.86,20.1,21.667222,4.710431,Non Significant,Tehama
06109,9758.0,448587.93,3570.0,172294.84,745.0,36214.21,0.0,0.0,1988.0,84819.24,3455.0,155259.64,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14690.0,72.0,46.852,91.62,0.332,4.74,15.544,0.874,14.652,722.6,533.292,4186.4,0,13.18,56714.4,54045.2,4.0,9.3,28.3,41.9,20.5,5.6,6.52,22.2,10.0,16.4,3.4,7.16,16.56,2.675,4.8,1.76,11.4,15.98,5.6,2.96,19.22,5.68,32.46,50.02,10.46,19.54,24.334995,6.614483,Low-High,Tuolumne
06013,723.0,209199.32,188.0,63496.78,154.0,29790.38,110.0,16075.15,131.0,61191.51,140.0,38645.5,46.998254,39.893617,68.386539,28.571429,68.850481,29.090909,51.997213,55.725191,78.573629,48.571429,83.125953,40.387275,72.895806,170865.8,71.4,44.994,63.756,9.546,12.248,26.57,0.978,17.664,653.0,690.802,5353.0,1,8.74,95407.2,1142250.6,1.0,10.5,17.3,29.9,42.4,3.96,6.14,20.2,6.2,12.0,3.0,9.2,15.3,2.5,3.3,3.26,8.12,22.46,6.78,3.4,23.16,6.1,25.4,48.9,11.22,18.8,1595.46245,238.660385,Non Significant,Contra Costa
20059,307.0,13570.33,186.0,7788.81,0.0,0.0,20.0,1022.12,38.0,2177.55,63.0,2581.85,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4982.2,72.0,44.074,95.396,1.09,1.418,16.088,0.958,16.628,787.0,545.006,3425.0,0,10.76,54197.2,25558.4,6.0,7.8,37.6,34.2,20.4,3.86,8.1,22.2,11.8,11.2,4.0,12.22,17.48,1.675,2.275,3.04,16.12,21.76,8.3,3.36,26.64,7.68,35.7,58.9,13.6,26.42,44.701586,8.713857,Non Significant,Franklin
06025,11.0,1682.34,0.0,0.0,0.0,0.0,11.0,1682.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26312.0,71.8,48.65,23.07,1.388,72.88,52.29,1.19,18.668,813.4,865.038,5576.8,1,22.4,44280.0,180700.6,3.0,30.3,24.3,30.2,15.2,21.64,8.92,17.2,5.6,21.4,2.6,11.02,16.1,1.825,3.825,2.26,9.58,27.44,8.88,5.46,39.1,5.92,35.6,63.76,14.38,27.66,43.264969,6.299857,Non Significant,Imperial
