FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Moran I score for ACS billing fraction,County
01017,408.0,30064.8,157.0,10363.09,115.0,6360.51,136.0,13341.2,0.0,0.0,0.0,0.0,14.19699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8489.0,69.2,44.126,64.466,34.326,0.286,28.144,1.04,16.296,726.4,502.664,3765.2,0,19.76,38781.0,33660.4,6.0,18.4,36.7,31.6,13.3,4.52,11.94,23.6,11.0,22.2,2.8,11.06,13.92,2.125,3.5,3.3,14.46,25.76,4.4,3.54,34.7,4.1,35.56,67.0,16.78,31.58,56.426908,14.23061,Non Significant,Chambers
01033,272.0,37080.23,27.0,3247.8,38.0,3775.56,47.0,6287.85,52.0,13364.63,108.0,10404.39,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13441.2,70.2,44.234,83.732,14.83,0.344,22.404,0.98,17.71,841.0,674.476,6455.2,1,15.72,45916.2,54770.8,3.0,14.8,37.8,29.2,18.1,5.76,10.42,23.2,12.8,21.8,3.6,10.84,19.8,2.0,4.7,2.5,17.56,23.6,6.32,3.88,33.02,4.94,40.44,71.38,14.0,30.6,92.421606,22.681014,Non Significant,Colbert
01045,12.0,405.21,0.0,0.0,0.0,0.0,0.0,0.0,12.0,405.21,0.0,0.0,0.999104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9932.6,69.4,45.38,79.428,16.944,1.606,24.312,1.0,16.09,882.8,688.614,5950.6,0,18.22,43763.6,49276.8,4.0,13.9,32.3,35.7,18.1,4.84,11.04,19.8,14.0,29.6,3.8,11.3,20.34,2.625,3.25,3.54,15.92,24.82,7.56,3.96,32.02,6.14,40.76,67.0,14.7,30.38,87.813953,17.700437,Non Significant,Dale
01083,55.0,9515.59,0.0,0.0,44.0,5107.72,0.0,0.0,11.0,4407.87,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16326.2,70.6,44.822,88.014,9.526,0.896,17.158,0.982,17.134,745.8,805.458,7879.0,1,12.48,58835.0,94726.8,2.0,15.3,30.4,28.6,25.7,4.24,11.34,24.2,12.6,20.4,3.4,9.76,18.86,2.075,4.575,2.28,13.0,25.3,6.94,3.7,31.2,5.3,39.06,66.68,14.82,28.14,169.174334,29.157261,Non Significant,Limestone
05145,1269.0,52190.22,0.0,0.0,15.0,989.45,22.0,1663.2,15.0,1125.0,1217.0,48412.57,11.995594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15758.0,70.6,44.814,95.51,2.446,0.918,20.582,0.942,17.884,695.8,598.714,4411.4,0,16.52,44424.8,78762.0,4.0,15.6,39.3,24.2,20.9,4.92,9.54,22.2,12.2,16.6,3.4,12.72,18.32,1.3,3.725,3.48,14.82,22.02,4.84,4.06,26.5,3.64,33.32,61.72,14.1,33.24,76.093037,15.224018,Non Significant,White
06089,4547.0,2251516.479999,934.0,460542.440004,1055.0,531266.659998,890.0,463958.159997,901.0,433444.339998,767.0,362304.880001,159.0,51.070664,73.299924,51.090047,72.824141,53.932584,74.559178,53.385128,69.790063,56.453716,70.104769,53.001979,72.257304,44901.4,70.4,47.078,91.08,0.738,3.748,23.938,0.874,15.384,672.4,675.072,5834.2,1,16.34,51837.0,179211.6,3.0,8.9,25.4,43.5,22.2,6.08,7.5,23.0,10.2,12.2,2.6,7.66,15.72,2.725,4.675,2.54,11.34,17.96,4.3,3.18,23.2,3.94,28.66,45.6,11.74,21.56,47.468217,11.893144,Non Significant,Shasta
06099,495.0,84676.27,106.0,46882.55,48.0,5854.11,136.0,13279.23,135.0,11429.03,70.0,7231.35,25.0,36.792453,73.05266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.878788,40.446928,78343.6,69.4,46.936,64.688,3.108,24.722,40.282,1.044,18.55,766.4,634.546,4845.2,1,15.32,57462.2,543193.8,2.0,21.1,29.3,32.5,17.1,7.68,7.56,19.2,8.4,18.4,2.8,8.88,15.8,2.3,3.5,3.4,10.62,26.42,5.58,3.42,32.04,5.18,30.16,53.6,13.42,25.56,363.382385,52.409811,Non Significant,Stanislaus
08013,1285.0,89487.36,116.0,23208.05,46.0,9426.52,0.0,0.0,0.0,0.0,1123.0,56852.79,14.996336,37.068966,81.411407,45.652174,94.117978,0.0,0.0,0.0,0.0,0.0,0.0,4.980545,31.027902,44475.6,72.0,46.014,88.17,0.858,5.164,13.592,0.814,13.816,520.4,730.716,6318.8,1,11.22,79959.4,322510.0,2.0,5.0,11.7,21.2,62.1,2.56,7.28,18.0,4.6,8.0,2.8,8.84,14.62,1.775,2.675,2.42,6.74,13.88,6.88,2.44,14.08,3.88,28.08,35.44,8.72,22.78,444.051886,61.23678,Non Significant,Boulder
08031,3328.0,900082.759999,525.0,143723.749999,637.0,206304.27,750.0,187252.080001,532.0,166522.619999,884.0,196280.039999,150.861981,6.666667,9.991779,20.565149,42.942529,7.333333,15.188787,15.601504,37.672347,8.257919,19.134014,11.328125,25.740231,80061.8,70.4,46.612,68.108,12.062,13.916,24.174,0.988,17.544,719.8,622.31,4949.0,1,13.2,65484.6,705576.2,1.0,12.0,16.8,21.7,49.4,2.94,10.7,19.4,8.6,10.0,3.0,10.2,18.2,3.8,4.55,3.98,8.96,20.0,6.62,2.84,18.32,4.88,29.0,40.98,10.4,18.6,4611.60915,523.279739,Low-High,Denver
08035,1053.0,428356.91,462.0,150856.570001,249.0,119055.56,196.0,80599.48,95.0,55521.76,51.0,22323.54,45.868712,34.848485,58.9969,69.879518,82.625751,40.816327,62.430353,82.105263,93.444876,50.980392,60.493497,49.287749,70.753223,37429.8,72.2,45.594,91.616,1.022,2.83,6.474,0.85,13.958,504.2,820.692,6297.6,1,3.06,115815.6,336040.6,1.0,1.9,12.0,28.1,58.0,2.52,3.84,20.4,4.4,11.4,3.6,9.42,16.2,1.775,2.075,1.42,7.56,19.04,6.98,2.96,16.6,4.88,34.02,44.86,9.38,21.9,399.930259,44.546134,Non Significant,Douglas
12083,2512.0,487896.65,345.0,125530.82,265.0,71670.87,802.0,101120.93,843.0,107454.09,257.0,82119.94,82.997707,59.710145,73.406395,42.264151,83.580428,13.965087,57.117394,16.370107,61.651641,42.412451,58.001893,26.950637,66.343239,107441.6,73.2,45.78,87.34,5.994,4.226,13.336,1.066,17.14,625.4,1013.7,6639.4,1,16.46,43410.0,353526.2,2.0,12.4,36.9,30.6,20.1,5.2,16.48,21.4,8.6,27.4,3.6,11.52,19.12,2.3,3.1,2.14,15.9,28.88,7.48,4.18,30.32,5.66,36.44,67.68,17.5,39.3,223.108827,67.80592,High-High,Marion
12095,9785.0,1103565.680002,1755.0,279548.02,1633.0,198257.84,2296.0,216185.550001,1967.0,208189.630001,2134.0,201384.64,163.051103,9.059829,35.240378,2.694427,16.823365,1.437282,3.038066,1.016777,3.526304,4.451734,17.255983,3.587123,16.358571,165046.6,72.0,44.136,66.988,13.832,13.442,18.668,1.128,21.62,694.8,760.468,5187.6,1,15.08,55419.2,1349746.0,1.0,11.5,24.4,29.6,34.6,3.94,15.3,16.6,6.4,20.2,3.0,13.98,18.34,2.05,2.875,3.34,11.76,29.2,7.1,4.86,32.04,5.96,32.18,62.72,16.16,33.84,1494.02554,182.689066,Low-High,Orange
12111,1365.0,402460.91,272.0,66191.82,247.0,48677.94,120.0,33118.22,461.0,167532.42,265.0,86940.51,56.0,25.735294,59.26548,12.550607,46.979556,20.0,53.053938,41.43167,63.783356,44.90566,71.694645,31.868132,61.833978,71817.0,72.4,46.176,80.752,10.054,6.102,14.612,1.072,21.136,772.0,894.76,7122.4,1,13.76,50418.2,312946.6,2.0,13.7,33.2,31.5,21.6,5.2,17.8,21.6,9.2,23.6,3.6,11.22,18.16,2.9,3.925,2.98,14.66,24.62,7.32,5.0,27.88,5.22,35.94,63.64,14.68,36.42,547.18023,125.570441,High-High,St. Lucie
13013,25.0,7637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,7637.0,1.98637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11295.8,69.6,44.658,85.44,8.992,2.428,20.22,1.022,18.296,746.0,725.786,5333.0,1,11.94,59809.4,78990.4,1.0,15.5,34.1,31.4,19.0,4.1,17.34,22.2,12.2,23.0,3.8,9.8,17.7,2.425,4.5,2.72,13.46,26.4,5.7,4.02,29.32,5.42,33.1,62.48,14.54,27.02,492.738399,70.462669,Low-High,Barrow
13059,318.0,119956.59,54.0,19596.22,88.0,39533.34,98.0,47993.43,66.0,10301.1,12.0,2532.5,17.852083,75.925926,90.65876,46.590909,88.172338,100.0,100.0,0.0,0.0,0.0,0.0,56.603774,83.877501,15385.8,70.4,43.904,70.898,24.078,1.87,20.382,1.002,17.524,733.6,752.544,6124.4,1,29.06,38608.6,126176.0,3.0,12.0,19.9,24.1,44.0,4.86,17.04,18.8,9.4,21.6,3.4,10.72,19.12,2.925,4.05,3.82,8.72,24.24,5.72,4.36,24.22,5.14,33.92,60.0,13.08,23.8,1058.52349,129.075503,High-High,Clarke
13071,58.0,10585.65,23.0,2999.72,22.0,2857.4,13.0,4728.53,0.0,0.0,0.0,0.0,4.993462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8484.8,70.0,47.548,80.724,15.662,2.53,28.008,1.098,21.172,990.0,601.446,3861.4,0,24.1,37253.0,45486.0,6.0,25.3,38.8,23.1,12.8,4.68,23.56,23.8,16.2,20.6,3.8,11.92,20.9,5.55,6.175,4.42,17.4,23.44,6.28,4.02,31.12,5.06,36.6,67.06,17.2,26.7,83.590461,15.592673,Non Significant,Colquitt
13091,161.0,14751.19,42.0,2401.14,66.0,5265.19,12.0,929.64,12.0,1823.64,29.0,4331.58,5.934775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3937.2,69.4,45.214,78.324,20.366,0.456,29.93,1.06,17.086,878.4,645.402,4732.6,0,23.78,36642.2,20828.6,6.0,14.4,44.2,27.1,14.3,6.6,16.28,24.6,12.2,22.6,3.0,11.16,18.18,2.3,5.3,3.82,15.14,28.88,3.84,3.92,33.8,4.78,37.92,70.38,15.52,33.02,42.00246,7.939664,Non Significant,Dodge
13113,61.0,12172.4,0.0,0.0,0.0,0.0,14.0,2425.96,36.0,9366.44,11.0,380.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20284.2,73.0,45.288,79.36,15.3,1.91,6.654,0.9,15.594,511.4,713.204,5777.0,1,5.82,88229.6,112302.8,1.0,4.7,20.9,28.2,46.2,4.18,10.68,17.8,5.4,18.6,3.2,10.76,14.76,1.125,1.825,2.02,8.12,20.4,5.7,3.98,24.3,4.32,29.6,59.32,10.64,24.8,577.861708,104.373733,Non Significant,Fayette
08059,538.0,232210.67,190.0,90729.38,89.0,42176.92,189.0,86497.36,11.0,3268.13,59.0,9538.88,29.398745,66.842105,87.159396,75.280899,94.608141,64.021164,78.6915,0.0,0.0,0.0,0.0,58.550186,80.551014,92132.0,71.2,46.142,87.65,1.006,6.652,14.264,0.93,14.502,564.8,725.17,5780.6,1,7.34,80271.8,574798.2,1.0,5.5,20.3,29.1,45.2,2.76,6.9,18.8,7.4,14.4,3.2,9.7,17.72,2.475,3.3,2.46,9.42,21.36,6.92,2.84,17.28,4.84,30.04,42.62,10.38,19.96,752.148891,120.558801,Non Significant,Jefferson
09015,51.0,9511.17,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3724.61,33.0,5786.56,2.847573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20871.0,70.6,45.306,91.46,1.022,4.464,37.034,1.034,18.162,881.4,518.186,4303.4,1,11.5,62653.8,116565.6,2.0,11.6,33.2,30.9,24.3,4.9,5.72,17.0,11.6,18.6,3.6,10.9,22.22,3.975,5.0,4.3,16.34,21.14,6.42,3.66,26.62,8.1,32.1,59.9,13.48,26.04,227.263263,40.691349,Low-Low,Windham
12001,4497.0,1335422.480001,1074.0,289981.490001,1115.0,308866.239998,826.0,280766.110001,750.0,224738.89,732.0,231069.75,182.0,11.545624,20.571917,15.695067,26.679957,20.338983,29.68001,17.466667,29.766833,20.355191,30.552723,16.611074,27.173969,38184.8,72.2,44.27,77.482,15.732,3.2,19.076,0.998,21.244,695.6,732.728,5065.0,1,20.56,47690.6,265442.8,2.0,7.4,21.2,28.1,43.3,3.86,12.14,21.2,7.4,16.6,3.8,12.22,19.34,2.675,3.475,3.06,10.74,24.44,8.56,4.16,25.78,6.1,36.26,57.9,13.66,25.3,303.356266,43.638774,High-High,Alachua
12013,72.0,3208.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,3208.14,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2765.2,71.6,46.57,91.2,6.65,1.085,30.588,1.082,18.624,1013.4,699.062,4757.4,0,21.36,38020.8,14362.4,6.0,23.1,41.6,25.8,9.5,5.06,15.3,21.8,10.0,21.2,3.0,14.94,23.54,2.625,2.45,6.02,20.16,25.46,6.3,4.88,34.56,3.8,35.1,63.18,18.48,34.58,25.315599,4.874025,Non Significant,Calhoun
12023,917.0,342947.219999,207.0,71647.04,180.0,64475.89,168.0,59019.6,184.0,69557.7,178.0,78246.989999,18.201872,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14232.6,71.0,46.642,85.448,10.408,2.164,24.006,1.054,21.602,906.4,829.802,5382.0,0,17.38,44069.8,69968.0,4.0,13.9,36.7,34.6,14.9,4.42,12.98,20.6,12.4,20.6,4.6,12.22,21.0,2.825,3.375,3.52,18.16,26.96,7.18,4.7,28.92,5.28,35.28,61.9,17.94,32.78,87.726029,17.844865,Non Significant,Columbia
12055,1738.0,117579.97,32.0,10804.05,19.0,10662.4,23.0,11571.3,20.0,9660.6,1644.0,74881.62,15.0,59.375,90.168224,100.0,100.0,100.0,100.0,100.0,100.0,1.581509,18.161333,6.156502,46.977066,31871.4,74.0,45.79,86.34,4.916,6.52,16.01,1.118,17.652,767.0,954.958,7150.8,1,19.68,38943.4,103436.8,3.0,14.3,38.8,29.8,17.2,5.92,19.02,21.0,7.6,21.8,2.8,12.96,17.28,2.05,2.025,3.44,19.28,28.62,7.62,4.9,30.22,4.44,42.88,66.88,17.16,40.56,101.746285,31.350511,High-High,Highlands
12073,617.0,31213.29,18.0,568.44,39.0,1779.48,50.0,2029.76,41.0,1991.48,469.0,24844.13,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37899.6,71.8,43.918,72.746,21.918,2.106,21.346,1.0,20.16,792.8,725.782,4602.2,1,20.06,51057.8,289770.4,2.0,6.5,19.0,28.3,46.2,4.08,11.2,17.0,7.4,18.2,3.6,13.82,18.34,2.425,2.725,4.02,10.9,21.76,8.14,4.24,26.9,5.2,29.92,59.34,14.46,25.3,434.534799,56.8336,Non Significant,Leon
04013,24343.0,12324705.58004,6309.0,3077793.650009,5943.0,2747421.570016,4714.0,2411885.610001,3856.0,1951585.59,3521.0,2136019.160015,735.0,41.797432,82.875572,37.994279,83.215499,53.86084,82.888159,51.633817,81.24393,54.813973,81.213816,46.645853,82.407443,613597.2,72.4,46.026,84.468,3.282,7.04,8.716,0.922,16.136,581.0,981.83,7421.8,1,13.86,62169.6,4328809.8,1.0,12.3,22.4,32.6,32.7,4.46,12.44,21.2,6.4,16.8,3.6,8.1,14.94,1.95,2.675,1.6,9.22,24.38,7.74,3.68,22.52,5.8,34.6,53.44,10.3,24.82,470.515491,66.694311,Non Significant,Maricopa
05051,1613.0,885541.22,385.0,204333.54,355.0,213285.1,303.0,181164.93,247.0,133066.54,323.0,153691.11,38.509116,76.883117,97.590606,92.676056,98.972432,91.419142,95.035535,95.1417,99.373133,85.448916,97.056082,87.600744,97.575786,27112.4,72.0,45.416,92.688,4.422,1.134,15.184,0.938,18.108,613.6,661.822,5330.2,1,18.06,42773.6,98555.0,3.0,10.9,31.4,36.0,21.6,4.3,11.06,20.0,9.6,13.4,2.8,10.3,18.22,2.275,3.725,2.86,11.74,17.9,6.78,3.68,22.04,3.98,35.42,58.56,13.9,31.44,145.408325,40.001711,Non Significant,Garland
13313,107.0,27975.04,25.0,2688.59,42.0,15677.68,0.0,0.0,28.0,8398.36,12.0,1210.41,8.0,0.0,0.0,66.666667,90.475376,0.0,0.0,53.571429,85.019932,0.0,0.0,40.186916,76.227666,15962.6,70.2,45.014,87.772,3.424,6.85,24.734,1.0,16.144,767.6,606.426,4817.2,1,14.96,47094.8,104237.2,3.0,30.5,29.4,24.3,15.7,5.52,22.36,20.4,14.2,15.2,3.6,11.28,17.36,1.925,3.975,3.02,16.38,23.32,5.8,3.86,31.82,4.28,32.36,64.88,15.36,27.6,358.864438,54.955519,Non Significant,Whitfield
17019,3510.0,238115.68,419.0,47024.26,908.0,66437.249999,855.0,47881.62,672.0,44167.61,656.0,32604.94,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26346.4,70.0,45.94,81.554,12.904,1.366,21.848,0.97,21.74,824.8,682.006,4220.8,1,19.46,52009.4,209922.4,3.0,5.0,22.0,28.0,45.0,4.46,6.4,19.0,10.4,15.6,4.2,9.0,17.88,2.025,2.475,3.12,10.58,21.52,6.88,3.3,26.06,5.84,32.4,54.32,13.02,20.72,210.709188,26.445146,Non Significant,Champaign
17029,1349.0,135172.05,294.0,33048.09,309.0,33604.51,297.0,26314.17,324.0,29205.05,125.0,13000.23,18.986461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9259.2,71.0,44.31,96.148,1.32,0.638,27.052,1.07,20.04,898.0,527.544,4079.0,0,19.48,45689.8,51353.0,5.0,8.6,30.5,34.9,26.0,5.04,6.82,21.6,15.2,21.2,3.0,11.4,22.24,2.275,3.25,3.66,16.78,25.14,6.84,3.58,29.1,5.04,37.4,58.38,20.5,30.62,101.030709,18.216337,Non Significant,Coles
17049,78.0,27784.94,41.0,8631.79,13.0,6764.62,13.0,6955.51,11.0,5433.02,0.0,0.0,4.996896,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,7033.8,72.0,44.864,0.0,0.0,0.0,15.822,0.946,18.008,695.6,636.35,4549.2,0,9.86,56932.6,34136.8,7.0,6.9,35.8,34.5,22.7,4.04,5.44,17.2,9.8,15.2,2.6,10.08,17.94,1.35,1.725,2.98,14.56,22.0,6.22,3.26,27.44,4.0,38.32,59.18,14.3,27.78,71.3,14.691182,Non Significant,Effingham
18059,15.0,6054.84,15.0,6054.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997899,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,13622.4,72.0,43.754,94.828,1.528,0.692,14.232,0.962,16.626,608.4,529.666,3927.2,1,5.92,73192.4,75164.4,1.0,7.1,32.7,29.3,30.8,3.34,7.0,21.2,8.8,21.4,2.8,11.04,23.0,1.575,2.15,2.86,13.3,22.6,7.34,3.74,26.94,5.08,30.96,58.62,12.58,27.04,245.622451,44.515319,Non Significant,Hancock
18095,936.0,146520.1,169.0,26647.14,244.0,46172.11,213.0,27275.3,153.0,18567.29,157.0,27858.26,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27967.6,71.0,43.518,91.012,6.458,0.724,21.864,1.068,16.448,854.8,536.334,4059.2,1,16.34,47914.4,129455.4,1.0,11.6,39.4,30.6,18.4,4.38,9.78,27.2,13.6,19.2,4.2,12.2,24.36,1.975,4.8,3.56,15.52,25.92,7.06,3.6,29.8,8.74,38.72,61.52,15.74,30.58,286.459622,61.886859,Non Significant,Madison
18105,1774.0,648686.829999,382.0,138318.95,328.0,118042.44,294.0,107995.34,179.0,95050.29,591.0,189279.81,63.500936,58.638743,74.759807,62.5,79.437785,70.068027,79.063467,87.150838,87.770874,43.485618,72.494768,59.075536,77.573113,19128.0,72.0,43.942,94.296,1.814,0.534,18.898,0.916,14.08,598.8,521.08,4829.2,1,22.22,48191.8,146460.6,3.0,7.3,22.2,24.8,45.7,3.96,9.98,17.2,9.4,11.0,3.4,11.04,20.0,2.45,2.75,4.48,9.96,18.98,6.94,3.26,23.86,4.54,30.36,52.86,11.66,22.48,371.247804,48.485586,Non Significant,Monroe
18153,495.0,55758.54,97.0,11139.36,128.0,14523.92,133.0,15021.59,137.0,15073.67,0.0,0.0,7.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,4189.8,71.0,45.564,0.0,0.0,0.0,21.222,1.03,18.116,747.8,483.506,3216.6,1,14.66,47876.8,20729.8,3.0,11.3,44.2,32.4,12.1,5.04,9.82,21.8,10.2,16.0,3.0,14.58,17.38,1.35,2.4,2.36,19.44,25.5,5.48,3.44,30.18,4.54,34.16,60.18,21.16,37.44,46.360664,9.370178,Non Significant,Sullivan
18173,13.0,999.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,999.44,0.989537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11731.8,72.0,45.138,95.904,1.128,0.482,14.06,0.926,16.336,616.6,643.398,5167.4,1,7.04,72635.0,62280.0,2.0,6.8,31.3,31.7,30.3,3.36,7.26,19.2,9.2,20.2,2.8,10.76,20.56,2.6,2.05,2.84,12.28,21.7,6.44,3.06,27.16,4.86,38.76,59.98,13.74,26.32,161.844003,30.486857,Non Significant,Warrick
18179,64.0,3909.41,0.0,0.0,23.0,1476.09,11.0,792.3,16.0,1225.28,14.0,415.74,4.924918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5598.2,72.0,43.74,0.0,0.0,0.0,16.976,0.94,15.608,695.4,562.77,3789.2,1,8.74,57781.6,28010.6,2.0,7.8,40.2,33.8,18.2,3.16,8.32,21.8,9.4,14.4,2.0,11.1,20.42,1.575,2.3,3.12,13.24,29.94,6.72,2.98,27.8,8.34,34.1,64.6,9.8,28.02,76.09777,15.208904,Non Significant,Wells
17077,35.0,9535.67,0.0,0.0,0.0,0.0,35.0,9535.67,0.0,0.0,0.0,0.0,1.925726,0.0,0.0,0.0,0.0,51.428571,90.498623,0.0,0.0,0.0,0.0,51.428571,90.498623,9281.6,69.6,47.058,86.83,10.062,1.144,28.624,0.99,20.436,940.0,529.728,3986.0,1,25.44,37701.0,57976.6,3.0,8.1,24.1,33.7,34.1,4.72,7.82,20.0,12.4,18.4,4.0,9.28,20.5,2.175,3.325,4.12,15.44,23.8,4.76,3.22,26.74,4.5,34.58,58.96,12.76,26.44,99.261233,15.890947,High-Low,Jackson
17089,903.0,136711.87,196.0,26135.42,102.0,12186.48,220.0,29419.89,251.0,40569.9,134.0,28400.18,40.999957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.432836,27.94102,1.993355,5.804397,68092.6,72.4,44.726,82.718,3.872,9.318,11.882,0.956,17.04,618.8,747.208,6483.2,1,9.46,76814.0,531376.2,1.0,15.4,22.7,28.7,33.1,5.06,9.7,17.8,6.8,15.4,2.8,9.72,16.82,1.75,1.5,2.28,9.58,21.44,6.96,3.96,25.6,4.74,35.12,58.0,12.38,23.92,1021.763342,130.932704,Non Significant,Kane
17103,791.0,34055.84,157.0,8014.14,0.0,0.0,0.0,0.0,0.0,0.0,634.0,26041.7,14.973809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7359.0,71.0,46.558,94.53,1.29,2.016,19.506,0.942,15.718,682.2,494.948,3600.8,0,11.9,56025.6,34389.4,6.0,11.2,33.8,36.8,18.2,4.56,5.68,16.0,12.2,20.6,3.0,9.4,18.26,2.175,1.5,2.76,13.24,22.5,5.1,3.02,25.84,4.0,32.72,58.6,14.88,30.86,47.44046,10.151801,Non Significant,Lee
17121,745.0,21679.02,0.0,0.0,130.0,2035.1,615.0,19643.92,0.0,0.0,0.0,0.0,7.251975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9012.6,71.0,46.232,94.66,3.31,0.656,27.726,1.092,18.366,860.2,533.366,4274.6,0,16.88,46445.8,37743.2,4.0,11.0,35.2,38.6,15.2,5.5,6.4,15.6,11.4,18.4,2.4,11.04,20.14,1.25,1.95,3.2,19.52,25.28,6.86,3.96,29.6,3.84,30.14,61.6,19.54,31.86,65.942767,15.746301,Non Significant,Marion
17179,62.0,7085.99,0.0,0.0,0.0,0.0,0.0,0.0,37.0,3113.54,25.0,3972.45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27224.8,73.0,45.914,97.05,0.24,0.47,11.07,0.946,18.16,634.4,574.122,4843.4,1,8.82,61427.4,133195.2,2.0,7.3,31.7,34.7,26.3,5.4,4.72,19.0,7.6,13.4,2.0,9.36,15.96,1.25,1.375,2.12,13.68,24.12,5.16,3.44,25.04,4.7,31.7,59.06,14.3,23.12,205.239655,41.950525,Non Significant,Tazewell
18011,363.0,116882.46,50.0,11658.86,0.0,0.0,119.0,37784.95,116.0,39029.7,78.0,28408.95,12.835491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9490.6,72.8,43.574,94.978,0.94,0.7,13.176,0.958,15.408,672.6,612.138,4573.6,1,6.2,81696.0,65544.2,1.0,6.3,19.5,24.9,49.3,2.98,6.86,19.0,7.4,12.0,2.8,11.98,19.84,1.6,1.95,2.78,11.88,21.58,7.08,3.22,26.1,4.4,31.32,53.52,14.54,30.62,154.982703,22.441022,Non Significant,Boone
